category,max_time,max_distance
atm,1886.25,2546.5
bank,3145.555556,4138.666667
bar,3602,4845.5
clothing store,4387.666667,5884.666667
grocery store,1725.666667,2247.333333
laundry,2126.666667,2805
park,1364.866667,1820.4
pharmacy,2006.2,2621.133333
restaurant,2523.282051,3386.153846
school,1588.666667,2108
subway station,4509.25,6002.4375
